ID,AÑO,MES_NOM,MES,DIA_SEMANA_NOM,DIA_SEMANA,ROL,VICTIMA,SEXO,EDAD
2016-0001,2016,ENERO,1,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,19
2016-0002,2016,ENERO,1,SÁBADO,5,CONDUCTOR,AUTO,MASCULINO,70
2016-0003,2016,ENERO,1,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,30
2016-0004,2016,ENERO,1,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,18
2016-0005,2016,ENERO,1,JUEVES,3,CONDUCTOR,MOTO,MASCULINO,29
2016-0008,2016,ENERO,1,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,30
2016-0009,2016,ENERO,1,DOMINGO,6,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29
2016-0010,2016,ENERO,1,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,18
2016-0012,2016,FEBRERO,2,LUNES,0,CONDUCTOR,MOTO,MASCULINO,22
2016-0013,2016,FEBRERO,2,MIÉRCOLES,2,PEATON,PEATON,MASCULINO,16
2016-0015,2016,FEBRERO,2,DOMINGO,6,PEATON,PEATON,FEMENINO,16
2016-0016,2016,FEBRERO,2,DOMINGO,6,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19
2016-0017,2016,FEBRERO,2,LUNES,0,PEATON,PEATON,MASCULINO,59
2016-0019,2016,FEBRERO,2,MIÉRCOLES,2,PEATON,PEATON,FEMENINO,65
2016-0020,2016,FEBRERO,2,MIÉRCOLES,2,PEATON,PEATON,MASCULINO,59
2016-0021,2016,FEBRERO,2,MIÉRCOLES,2,CONDUCTOR,AUTO,MASCULINO,34
2016-0022,2016,FEBRERO,2,DOMINGO,6,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41
2016-0025,2016,FEBRERO,2,DOMINGO,6,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34
2016-0026,2016,FEBRERO,2,DOMINGO,6,CONDUCTOR,AUTO,MASCULINO,30
2016-0027,2016,FEBRERO,2,DOMINGO,6,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34
2016-0028,2016,MARZO,3,MIÉRCOLES,2,PEATON,PEATON,MASCULINO,50
2016-0029,2016,MARZO,3,VIERNES,4,PEATON,PEATON,MASCULINO,38
2016-0031,2016,MARZO,3,MARTES,1,CONDUCTOR,MOTO,MASCULINO,21
2016-0034,2016,MARZO,3,SÁBADO,5,PEATON,PEATON,MASCULINO,52
2016-0035,2016,MARZO,3,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,34
2016-0036,2016,MARZO,3,LUNES,0,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36
2016-0037,2016,MARZO,3,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,20
2016-0038,2016,MARZO,3,LUNES,0,PEATON,PEATON,MASCULINO,29
2016-0039,2016,MARZO,3,MIÉRCOLES,2,CONDUCTOR,MOTO,MASCULINO,20
2016-0041,2016,MARZO,3,MARTES,1,CONDUCTOR,MOTO,MASCULINO,54
2016-0041,2016,MARZO,3,MARTES,1,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30
2016-0043,2016,MARZO,3,MIÉRCOLES,2,PEATON,PEATON,FEMENINO,56
2016-0044,2016,MARZO,3,JUEVES,3,CONDUCTOR,MOTO,MASCULINO,24
2016-0045,2016,ABRIL,4,LUNES,0,CONDUCTOR,MOTO,MASCULINO,30
2016-0047,2016,ABRIL,4,VIERNES,4,PEATON,PEATON,MASCULINO,41
2016-0048,2016,ABRIL,4,VIERNES,4,PEATON,PEATON,FEMENINO,30
2016-0050,2016,ABRIL,4,MARTES,1,PEATON,PEATON,MASCULINO,78
2016-0051,2016,ABRIL,4,MIÉRCOLES,2,CONDUCTOR,MOTO,MASCULINO,36
2016-0052,2016,ABRIL,4,MIÉRCOLES,2,SD,MOTO,SD,30
2016-0053,2016,ABRIL,4,VIERNES,4,PEATON,PEATON,MASCULINO,38
2016-0054,2016,ABRIL,4,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,30
2016-0055,2016,ABRIL,4,LUNES,0,PEATON,PEATON,MASCULINO,79
2016-0056,2016,ABRIL,4,MARTES,1,CONDUCTOR,MOTO,MASCULINO,26
2016-0058,2016,MAYO,5,MIÉRCOLES,2,PEATON,PEATON,FEMENINO,57
2016-0059,2016,MAYO,5,DOMINGO,6,PEATON,PEATON,MASCULINO,37
2016-0064,2016,MAYO,5,SÁBADO,5,PEATON,PEATON,MASCULINO,20
2016-0065,2016,MAYO,5,VIERNES,4,PEATON,PEATON,MASCULINO,20
2016-0067,2016,MAYO,5,SÁBADO,5,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30
2016-0068,2016,MAYO,5,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,58
2016-0069,2016,MAYO,5,LUNES,0,CONDUCTOR,AUTO,MASCULINO,30
2016-0073,2016,JUNIO,6,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,23
2016-0074,2016,JUNIO,6,DOMINGO,6,CONDUCTOR,AUTO,MASCULINO,60
2016-0075,2016,JUNIO,6,DOMINGO,6,PEATON,PEATON,MASCULINO,42
2016-0076,2016,JUNIO,6,LUNES,0,PEATON,PEATON,FEMENINO,53
2016-0077,2016,JUNIO,6,LUNES,0,PEATON,PEATON,FEMENINO,30
2016-0078,2016,JUNIO,6,LUNES,0,CONDUCTOR,MOTO,MASCULINO,30
2016-0079,2016,JUNIO,6,JUEVES,3,CONDUCTOR,AUTO,FEMENINO,51
2016-0080,2016,JUNIO,6,SÁBADO,5,CONDUCTOR,AUTO,MASCULINO,60
2016-0081,2016,JUNIO,6,MIÉRCOLES,2,CONDUCTOR,MOTO,MASCULINO,40
2016-0082,2016,JUNIO,6,LUNES,0,PEATON,PEATON,MASCULINO,87
2016-0083,2016,JUNIO,6,MARTES,1,PEATON,PEATON,FEMENINO,76
2016-0084,2016,JUNIO,6,MIÉRCOLES,2,PEATON,PEATON,MASCULINO,57
2016-0085,2016,JUNIO,6,MIÉRCOLES,2,SD,MOTO,MASCULINO,30
2016-0086,2016,JUNIO,6,JUEVES,3,PEATON,PEATON,MASCULINO,75
2016-0087,2016,JULIO,7,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,23
2016-0088,2016,JULIO,7,LUNES,0,PEATON,PEATON,FEMENINO,70
2016-0089,2016,JULIO,7,JUEVES,3,PEATON,PEATON,MASCULINO,35
2016-0090,2016,JULIO,7,JUEVES,3,PEATON,PEATON,MASCULINO,60
2016-0092,2016,JULIO,7,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,24
2016-0093,2016,JULIO,7,DOMINGO,6,CONDUCTOR,AUTO,MASCULINO,35
2016-0095,2016,JULIO,7,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,29
2016-0096,2016,JULIO,7,LUNES,0,CONDUCTOR,MOTO,MASCULINO,30
2016-0097,2016,JULIO,7,MARTES,1,PEATON,PEATON,MASCULINO,80
2016-0098,2016,JULIO,7,MIÉRCOLES,2,CONDUCTOR,MOTO,FEMENINO,43
2016-0099,2016,JULIO,7,VIERNES,4,CONDUCTOR,CARGAS,MASCULINO,45
2016-0100,2016,AGOSTO,8,MIÉRCOLES,2,CONDUCTOR,MOTO,MASCULINO,57
2016-0101,2016,AGOSTO,8,DOMINGO,6,SD,SD,MASCULINO,67
2016-0102,2016,AGOSTO,8,MIÉRCOLES,2,CONDUCTOR,MOTO,MASCULINO,29
2016-0104,2016,AGOSTO,8,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,21
2016-0105,2016,AGOSTO,8,MIÉRCOLES,2,PEATON,PEATON,MASCULINO,19
2016-0106,2016,AGOSTO,8,VIERNES,4,PEATON,PEATON,MASCULINO,38
2016-0107,2016,AGOSTO,8,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,21
2016-0109,2016,AGOSTO,8,MIÉRCOLES,2,CONDUCTOR,AUTO,FEMENINO,53
2016-0110,2016,AGOSTO,8,MIÉRCOLES,2,PEATON,PEATON,MASCULINO,57
2016-0111,2016,AGOSTO,8,JUEVES,3,CONDUCTOR,MOTO,MASCULINO,27
2016-0112,2016,AGOSTO,8,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,24
2016-0113,2016,AGOSTO,8,SÁBADO,5,PEATON,PEATON,FEMENINO,60
2016-0114,2016,AGOSTO,8,MIÉRCOLES,2,CICLISTA,BICICLETA,FEMENINO,55
2016-0115,2016,SEPTIEMBRE,9,VIERNES,4,SD,SD,MASCULINO,30
2016-0116,2016,SEPTIEMBRE,9,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,30
2016-0117,2016,SEPTIEMBRE,9,SÁBADO,5,CONDUCTOR,AUTO,MASCULINO,43
2016-0118,2016,SEPTIEMBRE,9,DOMINGO,6,CONDUCTOR,AUTO,MASCULINO,27
2016-0119,2016,SEPTIEMBRE,9,DOMINGO,6,PASAJERO_ACOMPAÑANTE,SD,FEMENINO,30
2016-0122,2016,SEPTIEMBRE,9,MARTES,1,CICLISTA,BICICLETA,MASCULINO,49
2016-0123,2016,SEPTIEMBRE,9,MIÉRCOLES,2,CONDUCTOR,MOTO,FEMENINO,58
2016-0124,2016,SEPTIEMBRE,9,VIERNES,4,PEATON,PEATON,MASCULINO,67
2016-0125,2016,SEPTIEMBRE,9,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,30
2016-0126,2016,SEPTIEMBRE,9,DOMINGO,6,CONDUCTOR,AUTO,MASCULINO,37
2016-0126,2016,SEPTIEMBRE,9,DOMINGO,6,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60
2016-0127,2016,SEPTIEMBRE,9,SÁBADO,5,PEATON,PEATON,MASCULINO,50
2016-0128,2016,OCTUBRE,10,DOMINGO,6,PEATON,PEATON,FEMENINO,81
2016-0130,2016,OCTUBRE,10,MARTES,1,CONDUCTOR,MOTO,MASCULINO,29
2016-0131,2016,OCTUBRE,10,DOMINGO,6,PEATON,PEATON,MASCULINO,35
2016-0132,2016,OCTUBRE,10,LUNES,0,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30
2016-0133,2016,OCTUBRE,10,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,41
2016-0134,2016,OCTUBRE,10,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,25
2016-0135,2016,OCTUBRE,10,LUNES,0,PEATON,PEATON,MASCULINO,29
2016-0136,2016,OCTUBRE,10,MARTES,1,CONDUCTOR,MOTO,SD,30
2016-0137,2016,OCTUBRE,10,MARTES,1,CONDUCTOR,MOTO,MASCULINO,30
2016-0138,2016,OCTUBRE,10,JUEVES,3,CICLISTA,BICICLETA,FEMENINO,33
2016-0139,2016,OCTUBRE,10,VIERNES,4,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35
2016-0140,2016,OCTUBRE,10,LUNES,0,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20
2016-0142,2016,NOVIEMBRE,11,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,46
2016-0143,2016,NOVIEMBRE,11,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,35
2016-0144,2016,NOVIEMBRE,11,LUNES,0,PEATON,PEATON,MASCULINO,83
2016-0145,2016,NOVIEMBRE,11,LUNES,0,CONDUCTOR,MOTO,MASCULINO,39
2016-0146,2016,NOVIEMBRE,11,MIÉRCOLES,2,PEATON,PEATON,FEMENINO,29
2016-0147,2016,NOVIEMBRE,11,MIÉRCOLES,2,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,55
2016-0148,2016,NOVIEMBRE,11,MIÉRCOLES,2,CONDUCTOR,MOTO,MASCULINO,30
2016-0150,2016,NOVIEMBRE,11,VIERNES,4,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,41
2016-0151,2016,NOVIEMBRE,11,VIERNES,4,PEATON,PEATON,SD,30
2016-0152,2016,NOVIEMBRE,11,MIÉRCOLES,2,CONDUCTOR,MOTO,MASCULINO,42
2016-0153,2016,NOVIEMBRE,11,VIERNES,4,PEATON,PEATON,FEMENINO,83
2016-0154,2016,NOVIEMBRE,11,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,38
2016-0155,2016,NOVIEMBRE,11,SÁBADO,5,PEATON,PEATON,FEMENINO,29
2016-0156,2016,NOVIEMBRE,11,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,23
2016-0157,2016,DICIEMBRE,12,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,23
2016-0159,2016,DICIEMBRE,12,DOMINGO,6,CONDUCTOR,AUTO,MASCULINO,23
2016-0160,2016,DICIEMBRE,12,MARTES,1,CONDUCTOR,CARGAS,MASCULINO,29
2016-0161,2016,DICIEMBRE,12,MARTES,1,PEATON,PEATON,MASCULINO,50
2016-0162,2016,DICIEMBRE,12,MIÉRCOLES,2,PEATON,PEATON,MASCULINO,38
2016-0163,2016,DICIEMBRE,12,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,23
2016-0164,2016,DICIEMBRE,12,DOMINGO,6,CONDUCTOR,AUTO,MASCULINO,29
2016-0165,2016,DICIEMBRE,12,LUNES,0,CICLISTA,BICICLETA,MASCULINO,37
2016-0168,2016,DICIEMBRE,12,MARTES,1,CONDUCTOR,MOTO,MASCULINO,43
2016-0169,2016,DICIEMBRE,12,JUEVES,3,CONDUCTOR,MOTO,MASCULINO,24
2016-0170,2016,DICIEMBRE,12,LUNES,0,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21
2016-0171,2016,DICIEMBRE,12,DOMINGO,6,CONDUCTOR,MOTO,SD,30
2016-0172,2016,DICIEMBRE,12,LUNES,0,CONDUCTOR,MOTO,MASCULINO,38
2016-0173,2016,DICIEMBRE,12,LUNES,0,CONDUCTOR,MOTO,MASCULINO,35
2016-0175,2016,DICIEMBRE,12,MARTES,1,PEATON,PEATON,FEMENINO,30
2016-0176,2016,DICIEMBRE,12,MIÉRCOLES,2,CONDUCTOR,MOTO,MASCULINO,28
2016-0177,2016,DICIEMBRE,12,JUEVES,3,PEATON,PEATON,FEMENINO,27
2016-0178,2016,DICIEMBRE,12,VIERNES,4,PEATON,PEATON,FEMENINO,7
2017-0001,2017,ENERO,1,LUNES,0,CONDUCTOR,MOTO,MASCULINO,18
2017-0003,2017,ENERO,1,JUEVES,3,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,33
2017-0007,2017,ENERO,1,MIÉRCOLES,2,PEATON,PEATON,MASCULINO,48
2017-0008,2017,ENERO,1,LUNES,0,CONDUCTOR,MOTO,MASCULINO,29
2017-0009,2017,ENERO,1,LUNES,0,CONDUCTOR,MOTO,MASCULINO,36
2017-0010,2017,ENERO,1,LUNES,0,CONDUCTOR,MOTO,MASCULINO,23
2017-0011,2017,ENERO,1,DOMINGO,6,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,29
2017-0012,2017,ENERO,1,MARTES,1,CONDUCTOR,MOTO,MASCULINO,30
2017-0013,2017,ENERO,1,VIERNES,4,PEATON,PEATON,MASCULINO,4
2017-0014,2017,ENERO,1,SÁBADO,5,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22
2017-0015,2017,FEBRERO,2,JUEVES,3,PEATON,PEATON,MASCULINO,82
2017-0016,2017,FEBRERO,2,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,27
2017-0017,2017,FEBRERO,2,LUNES,0,CONDUCTOR,MOTO,MASCULINO,32
2017-0018,2017,FEBRERO,2,JUEVES,3,CONDUCTOR,MOTO,MASCULINO,30
2017-0021,2017,FEBRERO,2,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,43
2017-0024,2017,FEBRERO,2,JUEVES,3,PEATON,PEATON,MASCULINO,39
2017-0025,2017,FEBRERO,2,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,23
2017-0026,2017,FEBRERO,2,DOMINGO,6,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23
2017-0026,2017,FEBRERO,2,DOMINGO,6,CONDUCTOR,AUTO,MASCULINO,19
2017-0027,2017,FEBRERO,2,DOMINGO,6,PEATON,PEATON,MASCULINO,30
2017-0028,2017,FEBRERO,2,MARTES,1,PEATON,PEATON,MASCULINO,87
2017-0029,2017,MARZO,3,MARTES,1,SD,SD,MASCULINO,34
2017-0030,2017,MARZO,3,MARTES,1,CONDUCTOR,AUTO,FEMENINO,27
2017-0031,2017,MARZO,3,SÁBADO,5,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,70
2017-0032,2017,MARZO,3,DOMINGO,6,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,40
2017-0033,2017,MARZO,3,DOMINGO,6,CONDUCTOR,AUTO,MASCULINO,28
2017-0034,2017,MARZO,3,LUNES,0,PEATON,PEATON,MASCULINO,43
2017-0035,2017,MARZO,3,JUEVES,3,CONDUCTOR,AUTO,MASCULINO,28
2017-0035,2017,MARZO,3,JUEVES,3,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,32
2017-0035,2017,MARZO,3,JUEVES,3,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30
2017-0036,2017,MARZO,3,MIÉRCOLES,2,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30
2017-0036,2017,MARZO,3,MIÉRCOLES,2,CONDUCTOR,MOTO,MASCULINO,20
2017-0037,2017,MARZO,3,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,41
2017-0038,2017,ABRIL,4,SÁBADO,5,CONDUCTOR,MOTO,FEMENINO,40
2017-0040,2017,ABRIL,4,LUNES,0,CONDUCTOR,AUTO,MASCULINO,43
2017-0041,2017,ABRIL,4,LUNES,0,CONDUCTOR,MOTO,MASCULINO,17
2017-0042,2017,ABRIL,4,LUNES,0,CONDUCTOR,MOTO,MASCULINO,30
2017-0045,2017,ABRIL,4,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,21
2017-0047,2017,ABRIL,4,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,37
2017-0049,2017,ABRIL,4,JUEVES,3,PEATON,PEATON,MASCULINO,22
2017-0050,2017,ABRIL,4,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,46
2017-0050,2017,ABRIL,4,VIERNES,4,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,16
2017-0051,2017,MAYO,5,LUNES,0,CONDUCTOR,AUTO,MASCULINO,33
2017-0052,2017,MAYO,5,VIERNES,4,PEATON,PEATON,FEMENINO,47
2017-0053,2017,MAYO,5,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,28
2017-0054,2017,MAYO,5,DOMINGO,6,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,20
2017-0055,2017,MAYO,5,MARTES,1,CONDUCTOR,AUTO,MASCULINO,32
2017-0058,2017,MAYO,5,MARTES,1,PEATON,PEATON,MASCULINO,80
2017-0059,2017,MAYO,5,JUEVES,3,PEATON,PEATON,FEMENINO,39
2017-0060,2017,MAYO,5,SÁBADO,5,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30
2017-0061,2017,MAYO,5,LUNES,0,PEATON,PEATON,MASCULINO,47
2017-0062,2017,MAYO,5,LUNES,0,CONDUCTOR,MOTO,MASCULINO,35
2017-0063,2017,MAYO,5,MIÉRCOLES,2,PEATON,PEATON,FEMENINO,79
2017-0064,2017,MAYO,5,SÁBADO,5,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,61
2017-0065,2017,MAYO,5,LUNES,0,CICLISTA,BICICLETA,MASCULINO,21
2017-0066,2017,MAYO,5,LUNES,0,PEATON,PEATON,MASCULINO,10
2017-0067,2017,MAYO,5,MARTES,1,CONDUCTOR,MOTO,MASCULINO,21
2017-0068,2017,MAYO,5,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,32
2017-0069,2017,MAYO,5,LUNES,0,CONDUCTOR,MOTO,MASCULINO,39
2017-0070,2017,MAYO,5,MARTES,1,PEATON,PEATON,MASCULINO,80
2017-0072,2017,JUNIO,6,SÁBADO,5,CONDUCTOR,AUTO,MASCULINO,25
2017-0073,2017,JUNIO,6,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,19
2017-0074,2017,JUNIO,6,DOMINGO,6,SD,SD,MASCULINO,70
2017-0075,2017,JUNIO,6,LUNES,0,PEATON,PEATON,MASCULINO,55
2017-0076,2017,JUNIO,6,MARTES,1,PEATON,PEATON,FEMENINO,30
2017-0077,2017,JUNIO,6,SÁBADO,5,CONDUCTOR,MOTO,FEMENINO,60
2017-0079,2017,JUNIO,6,LUNES,0,CONDUCTOR,MOTO,MASCULINO,33
2017-0080,2017,JUNIO,6,JUEVES,3,PEATON,PEATON,FEMENINO,95
2017-0082,2017,JUNIO,6,DOMINGO,6,PEATON,PEATON,MASCULINO,36
2017-0083,2017,JULIO,7,MARTES,1,CONDUCTOR,MOTO,MASCULINO,37
2017-0084,2017,JULIO,7,MIÉRCOLES,2,PEATON,PEATON,FEMENINO,73
2017-0085,2017,JULIO,7,VIERNES,4,PEATON,PEATON,MASCULINO,84
2017-0086,2017,JULIO,7,DOMINGO,6,PEATON,PEATON,FEMENINO,30
2017-0087,2017,JULIO,7,LUNES,0,PEATON,PEATON,FEMENINO,73
2017-0088,2017,JULIO,7,LUNES,0,PEATON,PEATON,MASCULINO,43
2017-0089,2017,JULIO,7,JUEVES,3,SD,SD,MASCULINO,23
2017-0090,2017,JULIO,7,SÁBADO,5,PEATON,PEATON,MASCULINO,22
2017-0091,2017,JULIO,7,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,58
2017-0092,2017,JULIO,7,LUNES,0,PEATON,PEATON,MASCULINO,66
2017-0093,2017,JULIO,7,MARTES,1,PEATON,PEATON,MASCULINO,30
2017-0094,2017,JULIO,7,JUEVES,3,CICLISTA,BICICLETA,FEMENINO,56
2017-0095,2017,AGOSTO,8,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,36
2017-0096,2017,AGOSTO,8,LUNES,0,PEATON,PEATON,MASCULINO,87
2017-0098,2017,AGOSTO,8,MARTES,1,PEATON,PEATON,FEMENINO,61
2017-0099,2017,AGOSTO,8,JUEVES,3,CICLISTA,BICICLETA,MASCULINO,28
2017-0100,2017,AGOSTO,8,LUNES,0,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,16
2017-0101,2017,AGOSTO,8,MIÉRCOLES,2,PEATON,PEATON,FEMENINO,61
2017-0102,2017,AGOSTO,8,JUEVES,3,PEATON,PEATON,MASCULINO,46
2017-0104,2017,AGOSTO,8,VIERNES,4,PEATON,PEATON,FEMENINO,18
2017-0106,2017,AGOSTO,8,JUEVES,3,PEATON,PEATON,FEMENINO,85
2017-0107,2017,SEPTIEMBRE,9,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,41
2017-0108,2017,SEPTIEMBRE,9,SÁBADO,5,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,17
2017-0108,2017,SEPTIEMBRE,9,SÁBADO,5,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,10
2017-0109,2017,SEPTIEMBRE,9,LUNES,0,CONDUCTOR,MOTO,MASCULINO,21
2017-0110,2017,SEPTIEMBRE,9,MIÉRCOLES,2,PEATON,PEATON,MASCULINO,56
